MaDanhGia,MaPhongDuocDat,ThoiGian,DiemDanhGia,NhanXet
DGPDD000005_1,PDD000005,2024-01-03,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000021_1,PDD000021,2024-01-03,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000062_1,PDD000062,2024-01-03,5,"Rất hài lòng, sẽ quay lại."
DGPDD000046_1,PDD000046,2024-01-03,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000055_1,PDD000055,2024-01-04,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000030_1,PDD000030,2024-01-04,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000032_1,PDD000032,2024-01-04,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000097_1,PDD000097,2024-01-04,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000015_1,PDD000015,2024-01-04,5,Tuyệt vời!
DGPDD000043_1,PDD000043,2024-01-04,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000068_1,PDD000068,2024-01-04,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000061_1,PDD000061,2024-01-04,5,Dịch vụ hoàn hảo.
DGPDD000051_1,PDD000051,2024-01-04,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000003_1,PDD000003,2024-01-04,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000062_2,PDD000062,2024-01-04,5,Tuyệt vời!
DGPDD000027_1,PDD000027,2024-01-04,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000179_1,PDD000179,2024-01-05,5,Tuyệt vời!
DGPDD000138_1,PDD000138,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000178_1,PDD000178,2024-01-05,5,"Rất hài lòng, sẽ quay lại."
DGPDD000039_1,PDD000039,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000038_1,PDD000038,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000154_1,PDD000154,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000083_1,PDD000083,2024-01-05,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000052_1,PDD000052,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000033_1,PDD000033,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000032_2,PDD000032,2024-01-05,1,"Rất tệ, không quay lại."
DGPDD000059_1,PDD000059,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000002_1,PDD000002,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000058_1,PDD000058,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000090_1,PDD000090,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000004_1,PDD000004,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
