MaDatPhong,MaKH,ThoiGian,GhiChu
DP00001,CUST02143,2024-01-01,
DP00002,CUST04902,2024-01-01,
DP00003,CUST03204,2024-01-01,Check-in sớm
DP00004,CUST02054,2024-01-01,
DP00005,CUST02277,2024-01-01,Check-in sớm
DP00006,CUST04873,2024-01-01,Yêu cầu phòng yên tĩnh
DP00007,CUST04230,2024-01-01,Có trẻ nhỏ
DP00008,CUST03160,2024-01-01,Có trẻ nhỏ
DP00009,CUST04085,2024-01-01,
DP00010,CUST03578,2024-01-01,Yêu cầu phòng yên tĩnh
DP00011,CUST01513,2024-01-01,Yêu cầu phòng yên tĩnh
DP00012,CUST03146,2024-01-01,Check-in sớm
DP00013,CUST02588,2024-01-01,Có trẻ nhỏ
DP00014,CUST04329,2024-01-01,Check-in sớm
DP00015,CUST02306,2024-01-01,Đặt giúp người khác
DP00016,CUST00836,2024-01-01,Có trẻ nhỏ
DP00017,CUST03137,2024-01-01,Check-in sớm
DP00018,CUST00070,2024-01-01,Có trẻ nhỏ
DP00019,CUST01819,2024-01-01,Có trẻ nhỏ
DP00020,CUST03128,2024-01-01,Check-in sớm
DP00021,CUST01934,2024-01-01,Đặt giúp người khác
DP00022,CUST00814,2024-01-01,
DP00023,CUST04667,2024-01-01,Đặt giúp người khác
DP00024,CUST04686,2024-01-01,Check-in sớm
DP00025,CUST00293,2024-01-01,Đặt giúp người khác
DP00026,CUST00299,2024-01-01,
DP00027,CUST02656,2024-01-01,Có trẻ nhỏ
DP00028,CUST01354,2024-01-01,Check-in sớm
DP00029,CUST03788,2024-01-01,Đặt giúp người khác
DP00030,CUST04383,2024-01-01,Check-in sớm
DP00031,CUST03239,2024-01-01,Check-in sớm
DP00032,CUST02002,2024-01-01,Check-in sớm
DP00033,CUST03386,2024-01-01,
DP00034,CUST04770,2024-01-01,Đặt giúp người khác
DP00035,CUST00907,2024-01-01,Yêu cầu phòng yên tĩnh
DP00036,CUST03553,2024-01-01,Đặt giúp người khác
DP00037,CUST02836,2024-01-01,Check-in sớm
DP00038,CUST04494,2024-01-01,
DP00039,CUST02505,2024-01-01,Đặt giúp người khác
DP00040,CUST02861,2024-01-01,Có trẻ nhỏ
DP00041,CUST04324,2024-01-01,Yêu cầu phòng yên tĩnh
DP00042,CUST01760,2024-01-01,Đặt giúp người khác
DP00043,CUST03767,2024-01-01,
DP00044,CUST02364,2024-01-01,Check-in sớm
DP00045,CUST04202,2024-01-01,Đặt giúp người khác
DP00046,CUST00411,2024-01-01,Đặt giúp người khác
DP00047,CUST02935,2024-01-01,
DP00048,CUST04114,2024-01-01,Có trẻ nhỏ
DP00049,CUST03917,2024-01-01,Có trẻ nhỏ
DP00050,CUST04026,2024-01-01,Có trẻ nhỏ
DP00051,CUST04711,2024-01-01,
DP00052,CUST02210,2024-01-01,
DP00053,CUST03584,2024-01-01,Đặt giúp người khác
DP00054,CUST04792,2024-01-02,Đặt giúp người khác
DP00055,CUST02122,2024-01-02,
DP00056,CUST00324,2024-01-02,Có trẻ nhỏ
DP00057,CUST01598,2024-01-02,Đặt giúp người khác
DP00058,CUST01313,2024-01-02,Check-in sớm
DP00059,CUST02127,2024-01-02,
DP00060,CUST02208,2024-01-02,Check-in sớm
DP00061,CUST02173,2024-01-02,Check-in sớm
DP00062,CUST04154,2024-01-02,Đặt giúp người khác
DP00063,CUST02959,2024-01-02,
DP00064,CUST04516,2024-01-02,Đặt giúp người khác
DP00065,CUST02804,2024-01-02,Check-in sớm
DP00066,CUST01887,2024-01-02,Check-in sớm
DP00067,CUST03803,2024-01-02,
DP00068,CUST02882,2024-01-02,Check-in sớm
DP00069,CUST03353,2024-01-02,Đặt giúp người khác
DP00070,CUST02706,2024-01-02,
DP00071,CUST02807,2024-01-02,Yêu cầu phòng yên tĩnh
DP00072,CUST03951,2024-01-02,Đặt giúp người khác
DP00073,CUST00555,2024-01-02,Check-in sớm
DP00074,CUST04534,2024-01-02,
DP00075,CUST00327,2024-01-02,Check-in sớm
DP00076,CUST01295,2024-01-02,Có trẻ nhỏ
DP00077,CUST00100,2024-01-02,
DP00078,CUST03773,2024-01-02,Đặt giúp người khác
DP00079,CUST03919,2024-01-02,
DP00080,CUST04991,2024-01-02,Yêu cầu phòng yên tĩnh
DP00081,CUST02518,2024-01-02,Đặt giúp người khác
DP00082,CUST04870,2024-01-02,Check-in sớm
DP00083,CUST04054,2024-01-02,Yêu cầu phòng yên tĩnh
DP00084,CUST01673,2024-01-02,Đặt giúp người khác
DP00085,CUST00777,2024-01-02,Check-in sớm
DP00086,CUST04434,2024-01-02,Check-in sớm
DP00087,CUST02599,2024-01-02,Đặt giúp người khác
DP00088,CUST02485,2024-01-02,
DP00089,CUST02468,2024-01-02,Có trẻ nhỏ
DP00090,CUST04218,2024-01-02,Đặt giúp người khác
DP00091,CUST01979,2024-01-02,Check-in sớm
DP00092,CUST02464,2024-01-02,Check-in sớm
DP00093,CUST00291,2024-01-02,Có trẻ nhỏ
DP00094,CUST04582,2024-01-02,Có trẻ nhỏ
DP00095,CUST02285,2024-01-02,Yêu cầu phòng yên tĩnh
DP00096,CUST00444,2024-01-03,Có trẻ nhỏ
DP00097,CUST02837,2024-01-03,Yêu cầu phòng yên tĩnh
DP00098,CUST01815,2024-01-03,
DP00099,CUST00682,2024-01-03,Yêu cầu phòng yên tĩnh
DP00100,CUST02148,2024-01-03,
DP00101,CUST03640,2024-01-03,Có trẻ nhỏ
DP00102,CUST03387,2024-01-03,
DP00103,CUST00147,2024-01-03,Check-in sớm
DP00104,CUST02027,2024-01-03,Đặt giúp người khác
DP00105,CUST03734,2024-01-03,
DP00106,CUST01466,2024-01-03,Yêu cầu phòng yên tĩnh
DP00107,CUST04925,2024-01-03,Check-in sớm
DP00108,CUST01638,2024-01-03,Có trẻ nhỏ
DP00109,CUST00693,2024-01-03,Đặt giúp người khác
DP00110,CUST02180,2024-01-03,Yêu cầu phòng yên tĩnh
DP00111,CUST01325,2024-01-03,Đặt giúp người khác
DP00112,CUST01222,2024-01-03,
DP00113,CUST03776,2024-01-03,Check-in sớm
DP00114,CUST03910,2024-01-03,Yêu cầu phòng yên tĩnh
DP00115,CUST00160,2024-01-03,Có trẻ nhỏ
DP00116,CUST01773,2024-01-03,Check-in sớm
DP00117,CUST00820,2024-01-03,Đặt giúp người khác
DP00118,CUST01062,2024-01-03,
DP00119,CUST01744,2024-01-03,Đặt giúp người khác
DP00120,CUST01900,2024-01-03,Check-in sớm
DP00121,CUST02652,2024-01-03,
DP00122,CUST03854,2024-01-03,Yêu cầu phòng yên tĩnh
DP00123,CUST02098,2024-01-03,
DP00124,CUST04453,2024-01-03,Yêu cầu phòng yên tĩnh
