MaSuDungDichVu,MaDichVu,MaPhongDuocDat,ThoiGian,SoLuong,ThanhTien
SDV000001,SVC001,PDD000001,2024-01-01,3,900000
SDV000002,SVC025,PDD000039,2024-01-01,1,250000
SDV000003,SVC010,PDD000039,2024-01-01,2,400000
SDV000004,SVC005,PDD000039,2024-01-01,3,2400000
SDV000005,SVC006,PDD000039,2024-01-01,2,600000
SDV000006,SVC016,PDD000038,2024-01-01,1,20000
SDV000007,SVC022,PDD000038,2024-01-01,3,0
SDV000008,SVC013,PDD000038,2024-01-01,1,150000
SDV000009,SVC025,PDD000038,2024-01-01,1,250000
SDV000010,SVC004,PDD000038,2024-01-01,3,3600000
SDV000011,SVC009,PDD000036,2024-01-01,1,0
SDV000012,SVC008,PDD000036,2024-01-01,3,0
SDV000013,SVC005,PDD000040,2024-01-01,1,800000
SDV000014,SVC016,PDD000034,2024-01-01,3,60000
SDV000015,SVC022,PDD000034,2024-01-01,2,0
SDV000016,SVC011,PDD000030,2024-01-01,1,350000
SDV000017,SVC014,PDD000030,2024-01-01,1,3000000
SDV000018,SVC004,PDD000030,2024-01-01,3,3600000
SDV000019,SVC006,PDD000030,2024-01-01,1,300000
SDV000020,SVC010,PDD000060,2024-01-01,1,200000
SDV000021,SVC004,PDD000027,2024-01-01,2,2400000
SDV000022,SVC018,PDD000027,2024-01-01,2,4000000
SDV000023,SVC003,PDD000026,2024-01-01,2,0
SDV000024,SVC009,PDD000024,2024-01-01,2,0
SDV000025,SVC009,PDD000021,2024-01-01,2,0
SDV000026,SVC001,PDD000034,2024-01-01,1,300000
SDV000027,SVC016,PDD000043,2024-01-01,3,60000
SDV000028,SVC012,PDD000043,2024-01-01,1,500000
SDV000029,SVC009,PDD000045,2024-01-01,1,0
SDV000030,SVC006,PDD000059,2024-01-01,3,900000
SDV000031,SVC001,PDD000059,2024-01-01,3,900000
SDV000032,SVC024,PDD000059,2024-01-01,2,200000
SDV000033,SVC004,PDD000058,2024-01-01,1,1200000
SDV000034,SVC022,PDD000058,2024-01-01,3,0
SDV000035,SVC023,PDD000061,2024-01-01,1,300000
SDV000036,SVC005,PDD000055,2024-01-01,3,2400000
SDV000037,SVC010,PDD000055,2024-01-01,2,400000
SDV000038,SVC020,PDD000054,2024-01-01,1,0
SDV000039,SVC009,PDD000062,2024-01-01,2,0
SDV000040,SVC016,PDD000062,2024-01-01,1,20000
SDV000041,SVC021,PDD000062,2024-01-01,2,0
SDV000042,SVC022,PDD000062,2024-01-01,3,0
SDV000043,SVC010,PDD000051,2024-01-01,3,600000
SDV000044,SVC012,PDD000062,2024-01-01,2,1000000
SDV000045,SVC001,PDD000063,2024-01-01,3,900000
SDV000046,SVC021,PDD000049,2024-01-01,3,0
SDV000047,SVC012,PDD000049,2024-01-01,3,1500000
SDV000048,SVC023,PDD000048,2024-01-01,3,900000
SDV000049,SVC022,PDD000063,2024-01-01,3,0
SDV000050,SVC007,PDD000066,2024-01-01,1,200000
SDV000051,SVC024,PDD000068,2024-01-01,3,300000
SDV000052,SVC002,PDD000047,2024-01-01,1,120000
SDV000053,SVC009,PDD000047,2024-01-01,3,0
SDV000054,SVC009,PDD000045,2024-01-01,2,0
SDV000055,SVC003,PDD000021,2024-01-01,3,0
SDV000056,SVC014,PDD000021,2024-01-01,1,3000000
SDV000057,SVC008,PDD000060,2024-01-01,1,0
SDV000058,SVC006,PDD000009,2024-01-01,3,900000
SDV000059,SVC024,PDD000009,2024-01-01,1,100000
SDV000060,SVC005,PDD000014,2024-01-01,3,2400000
SDV000061,SVC012,PDD000014,2024-01-01,1,500000
SDV000062,SVC021,PDD000014,2024-01-01,2,0
SDV000063,SVC005,PDD000014,2024-01-01,1,800000
SDV000064,SVC004,PDD000009,2024-01-01,2,2400000
SDV000065,SVC015,PDD000009,2024-01-01,3,0
SDV000066,SVC022,PDD000015,2024-01-01,1,0
SDV000067,SVC024,PDD000017,2024-01-01,1,100000
SDV000068,SVC013,PDD000013,2024-01-01,3,450000
SDV000069,SVC002,PDD000014,2024-01-01,1,120000
SDV000070,SVC007,PDD000013,2024-01-01,3,600000
SDV000071,SVC022,PDD000013,2024-01-01,3,0
SDV000072,SVC012,PDD000006,2024-01-01,3,1500000
SDV000073,SVC008,PDD000005,2024-01-01,3,0
SDV000074,SVC025,PDD000011,2024-01-01,3,750000
SDV000075,SVC003,PDD000001,2024-01-01,1,0
SDV000076,SVC020,PDD000005,2024-01-01,3,0
SDV000077,SVC011,PDD000003,2024-01-01,1,350000
SDV000078,SVC025,PDD000006,2024-01-01,2,500000
SDV000079,SVC008,PDD000021,2024-01-01,3,0
SDV000080,SVC013,PDD000069,2024-01-02,3,450000
SDV000081,SVC016,PDD000071,2024-01-02,1,20000
SDV000082,SVC008,PDD000070,2024-01-02,3,0
SDV000083,SVC017,PDD000070,2024-01-02,3,1500000
SDV000084,SVC021,PDD000068,2024-01-02,1,0
SDV000085,SVC002,PDD000069,2024-01-02,1,120000
SDV000086,SVC017,PDD000117,2024-01-02,2,1000000
SDV000087,SVC022,PDD000116,2024-01-02,2,0
SDV000088,SVC025,PDD000116,2024-01-02,2,500000
SDV000089,SVC004,PDD000118,2024-01-02,3,3600000
SDV000090,SVC013,PDD000104,2024-01-02,1,150000
SDV000091,SVC006,PDD000118,2024-01-02,1,300000
SDV000092,SVC011,PDD000125,2024-01-02,1,350000
SDV000093,SVC006,PDD000060,2024-01-02,3,900000
SDV000094,SVC022,PDD000125,2024-01-02,1,0
SDV000095,SVC008,PDD000125,2024-01-02,2,0
SDV000096,SVC014,PDD000123,2024-01-02,2,6000000
SDV000097,SVC009,PDD000122,2024-01-02,3,0
SDV000098,SVC019,PDD000122,2024-01-02,1,100000
SDV000099,SVC011,PDD000121,2024-01-02,3,1050000
SDV000100,SVC012,PDD000121,2024-01-02,1,500000
SDV000101,SVC015,PDD000121,2024-01-02,3,0
SDV000102,SVC016,PDD000120,2024-01-02,3,60000
SDV000103,SVC019,PDD000119,2024-01-02,2,200000
SDV000104,SVC001,PDD000118,2024-01-02,2,600000
SDV000105,SVC011,PDD000063,2024-01-02,1,350000
SDV000106,SVC021,PDD000071,2024-01-02,2,0
SDV000107,SVC015,PDD000068,2024-01-02,1,0
SDV000108,SVC002,PDD000073,2024-01-02,2,240000
SDV000109,SVC010,PDD000115,2024-01-02,2,400000
SDV000110,SVC012,PDD000074,2024-01-02,2,1000000
SDV000111,SVC020,PDD000107,2024-01-02,2,0
SDV000112,SVC002,PDD000107,2024-01-02,2,240000
SDV000113,SVC020,PDD000097,2024-01-02,1,0
SDV000114,SVC010,PDD000097,2024-01-02,3,600000
SDV000115,SVC005,PDD000107,2024-01-02,3,2400000
SDV000116,SVC009,PDD000097,2024-01-02,1,0
SDV000117,SVC002,PDD000099,2024-01-02,3,360000
SDV000118,SVC015,PDD000109,2024-01-02,2,0
SDV000119,SVC007,PDD000099,2024-01-02,2,400000
SDV000120,SVC016,PDD000101,2024-01-02,1,20000
SDV000121,SVC025,PDD000102,2024-01-02,2,500000
SDV000122,SVC025,PDD000102,2024-01-02,1,250000
SDV000123,SVC008,PDD000102,2024-01-02,3,0
SDV000124,SVC003,PDD000102,2024-01-02,3,0
SDV000125,SVC017,PDD000104,2024-01-02,3,1500000
SDV000126,SVC004,PDD000104,2024-01-02,1,1200000
SDV000127,SVC022,PDD000104,2024-01-02,2,0
SDV000128,SVC021,PDD000109,2024-01-02,2,0
SDV000129,SVC020,PDD000109,2024-01-02,1,0
SDV000130,SVC008,PDD000092,2024-01-02,2,0
SDV000131,SVC004,PDD000080,2024-01-02,3,3600000
SDV000132,SVC007,PDD000115,2024-01-02,2,400000
SDV000133,SVC011,PDD000115,2024-01-02,3,1050000
SDV000134,SVC023,PDD000114,2024-01-02,1,300000
SDV000135,SVC010,PDD000114,2024-01-02,1,200000
SDV000136,SVC015,PDD000111,2024-01-02,3,0
SDV000137,SVC020,PDD000111,2024-01-02,2,0
SDV000138,SVC006,PDD000080,2024-01-02,1,300000
SDV000139,SVC021,PDD000082,2024-01-02,1,0
SDV000140,SVC004,PDD000086,2024-01-02,2,2400000
SDV000141,SVC017,PDD000087,2024-01-02,2,1000000
SDV000142,SVC007,PDD000087,2024-01-02,1,200000
SDV000143,SVC024,PDD000087,2024-01-02,1,100000
SDV000144,SVC021,PDD000087,2024-01-02,2,0
SDV000145,SVC018,PDD000088,2024-01-02,2,4000000
SDV000146,SVC019,PDD000090,2024-01-02,3,300000
SDV000147,SVC010,PDD000091,2024-01-02,1,200000
SDV000148,SVC020,PDD000074,2024-01-02,3,0
SDV000149,SVC008,PDD000096,2024-01-02,3,0
SDV000150,SVC010,PDD000126,2024-01-02,2,400000
SDV000151,SVC021,PDD000012,2024-01-02,1,0
SDV000152,SVC005,PDD000043,2024-01-02,2,1600000
SDV000153,SVC018,PDD000036,2024-01-02,1,2000000
SDV000154,SVC014,PDD000012,2024-01-02,3,9000000
SDV000155,SVC002,PDD000043,2024-01-02,1,120000
SDV000156,SVC023,PDD000024,2024-01-02,3,900000
SDV000157,SVC006,PDD000042,2024-01-02,2,600000
SDV000158,SVC001,PDD000022,2024-01-02,3,900000
SDV000159,SVC004,PDD000030,2024-01-02,2,2400000
SDV000160,SVC007,PDD000012,2024-01-02,2,400000
SDV000161,SVC023,PDD000033,2024-01-02,2,600000
SDV000162,SVC009,PDD000042,2024-01-02,2,0
SDV000163,SVC022,PDD000025,2024-01-02,1,0
SDV000164,SVC004,PDD000013,2024-01-02,3,3600000
SDV000165,SVC001,PDD000034,2024-01-02,1,300000
SDV000166,SVC019,PDD000017,2024-01-02,1,100000
SDV000167,SVC007,PDD000035,2024-01-02,1,200000
SDV000168,SVC023,PDD000019,2024-01-02,3,900000
SDV000169,SVC005,PDD000018,2024-01-02,3,2400000
SDV000170,SVC009,PDD000036,2024-01-02,2,0
SDV000171,SVC018,PDD000008,2024-01-02,3,6000000
SDV000172,SVC002,PDD000001,2024-01-02,3,360000
