MaPhongDuocDat,MaDatPhong,MaPhong,NgayNhanPhong,NgayTraPhong,TongTienPhong
PDD000001,DP00001,THA001_R019,2024-01-01,2024-01-06,8500000
PDD000002,DP00002,BRV004_R007,2024-01-01,2024-01-03,2400000
PDD000003,DP00003,GLI001_R017,2024-01-01,2024-01-02,1800000
PDD000004,DP00003,BDH002_R021,2024-01-01,2024-01-03,4000000
PDD000005,DP00004,DLK002_R001,2024-01-01,2024-01-02,1200000
PDD000006,DP00005,TVH002_R005,2024-01-01,2024-01-03,2400000
PDD000007,DP00005,DNA002_R005,2024-01-01,2024-01-06,6000000
PDD000008,DP00006,HGG002_R010,2024-01-01,2024-01-06,9000000
PDD000009,DP00007,TBI002_R016,2024-01-01,2024-01-02,2200000
PDD000010,DP00008,QNG001_R004,2024-01-01,2024-01-04,3600000
PDD000011,DP00009,BLU002_R004,2024-01-01,2024-01-06,6000000
PDD000012,DP00009,PYN001_R003,2024-01-01,2024-01-03,2400000
PDD000013,DP00010,BGG002_R033,2024-01-01,2024-01-03,3400000
PDD000014,DP00011,HUG001_R013,2024-01-01,2024-01-03,3600000
PDD000015,DP00011,LCA002_R002,2024-01-01,2024-01-02,1200000
PDD000016,DP00012,LCH001_R012,2024-01-01,2024-01-04,4500000
PDD000017,DP00013,BGG003_R003,2024-01-01,2024-01-04,3600000
PDD000018,DP00013,LCA002_R003,2024-01-01,2024-01-04,3600000
PDD000019,DP00014,NBH002_R009,2024-01-01,2024-01-06,9000000
PDD000020,DP00015,CTO001_R021,2024-01-01,2024-01-06,11000000
PDD000021,DP00016,HTH002_R010,2024-01-01,2024-01-02,2200000
PDD000022,DP00016,BTN002_R027,2024-01-01,2024-01-06,5500000
PDD000023,DP00016,LDO001_R004,2024-01-01,2024-01-04,3600000
PDD000024,DP00017,HTH002_R008,2024-01-01,2024-01-06,14000000
PDD000025,DP00018,PTU002_R025,2024-01-01,2024-01-03,5600000
PDD000026,DP00019,PYN002_R008,2024-01-01,2024-01-06,6000000
PDD000027,DP00020,TBG002_R004,2024-01-01,2024-01-02,1200000
PDD000028,DP00020,CBG001_R008,2024-01-01,2024-01-03,3600000
PDD000029,DP00021,DNO001_R021,2024-01-01,2024-01-03,4400000
PDD000030,DP00022,TBG002_R009,2024-01-01,2024-01-03,5600000
PDD000031,DP00022,HPG002_R022,2024-01-01,2024-01-03,3000000
PDD000032,DP00023,BNH002_R033,2024-01-01,2024-01-03,4400000
PDD000033,DP00024,BGG003_R001,2024-01-01,2024-01-04,3600000
PDD000034,DP00025,DNG001_R014,2024-01-01,2024-01-04,6000000
PDD000035,DP00026,CTO002_R005,2024-01-01,2024-01-05,4800000
PDD000036,DP00026,DNO002_R014,2024-01-01,2024-01-03,3000000
PDD000037,DP00026,BTE001_R018,2024-01-01,2024-01-06,7500000
PDD000038,DP00027,HBI002_R015,2024-01-01,2024-01-02,1500000
PDD000039,DP00028,LCI002_R017,2024-01-01,2024-01-02,2800000
PDD000040,DP00029,BNH002_R014,2024-01-01,2024-01-05,7200000
PDD000041,DP00030,HUG001_R023,2024-01-01,2024-01-04,5100000
PDD000042,DP00031,QBI001_R007,2024-01-01,2024-01-04,3600000
PDD000043,DP00032,VPC001_R025,2024-01-01,2024-01-03,4000000
PDD000044,DP00033,LAG002_R015,2024-01-01,2024-01-04,4500000
PDD000045,DP00034,BTN001_R013,2024-01-01,2024-01-04,10500000
PDD000046,DP00035,BDG001_R002,2024-01-01,2024-01-02,1200000
PDD000047,DP00036,CBG002_R022,2024-01-01,2024-01-04,5100000
PDD000048,DP00037,BDH001_R012,2024-01-01,2024-01-04,4500000
PDD000049,DP00038,BRV003_R005,2024-01-01,2024-01-04,3600000
PDD000050,DP00039,CBG002_R001,2024-01-01,2024-01-05,4800000
PDD000051,DP00040,QNG002_R004,2024-01-01,2024-01-02,1200000
PDD000052,DP00040,CBG002_R012,2024-01-01,2024-01-04,5400000
PDD000053,DP00041,HTH001_R018,2024-01-01,2024-01-06,7500000
PDD000054,DP00042,BTN001_R016,2024-01-01,2024-01-03,3400000
PDD000055,DP00043,LCH001_R003,2024-01-01,2024-01-03,2400000
PDD000056,DP00044,YBI002_R013,2024-01-01,2024-01-04,5400000
PDD000057,DP00045,HPG002_R021,2024-01-01,2024-01-06,7500000
PDD000058,DP00046,LAG001_R006,2024-01-01,2024-01-02,1800000
PDD000059,DP00047,PTU002_R024,2024-01-01,2024-01-04,7200000
PDD000060,DP00048,DLK001_R025,2024-01-01,2024-01-06,14000000
PDD000061,DP00048,TNI001_R011,2024-01-01,2024-01-03,3600000
PDD000062,DP00049,HYN001_R024,2024-01-01,2024-01-02,1700000
PDD000063,DP00050,BGG003_R037,2024-01-01,2024-01-05,4400000
PDD000064,DP00051,QNG001_R017,2024-01-01,2024-01-05,7200000
PDD000065,DP00051,CBG002_R010,2024-01-01,2024-01-04,5400000
PDD000066,DP00052,PTU001_R007,2024-01-01,2024-01-06,11000000
PDD000067,DP00052,BGG002_R030,2024-01-01,2024-01-04,6000000
PDD000068,DP00053,HNO005_R011,2024-01-01,2024-01-03,3600000
PDD000069,DP00054,BLU001_R008,2024-01-02,2024-01-04,3600000
PDD000070,DP00055,BDG001_R041,2024-01-02,2024-01-04,2600000
PDD000071,DP00056,TBG002_R010,2024-01-02,2024-01-07,17500000
