hotel_id,cityId,hotelName,star_rating,address
AGG001,AGG,An Giang Hotel 1,3,"18 Trần Hưng Đạo, TP. Long Xuyên, An Giang"
AGG002,AGG,An Giang Hotel 2,4,"12 Nguyễn Trãi, TP. Long Xuyên, An Giang"
AGG003,AGG,An Giang Hotel 3,3,"22 Ngô Gia Tự, TP. Long Xuyên, An Giang"
AGG004,AGG,An Giang Hotel 4,2,"45 Lê Lợi, TX. Châu Đốc, An Giang"
AGG005,AGG,An Giang Hotel 5,3,"30 Nguyễn Bỉnh Khiêm, TP. Long Xuyên, An Giang"
BRV001,BRV,Bà Rịa - Vũng Tàu Hotel 1,5,"01 Thùy Vân, P. Thắng Tam, TP. Vũng Tàu"
BRV002,BRV,Bà Rịa - Vũng Tàu Hotel 2,4,"78 Trương Công Định, TP. Vũng Tàu"
BRV003,BRV,Bà Rịa - Vũng Tàu Hotel 3,3,"15 Lê Lợi, TP. Bà Rịa"
BRV004,BRV,Bà Rịa - Vũng Tàu Hotel 4,4,"12 Hạ Long, TP. Vũng Tàu"
BGG001,BGG,Bắc Giang Hotel 1,3,"25 Nguyễn Văn Cừ, TP. Bắc Giang"
BGG002,BGG,Bắc Giang Hotel 2,4,"10 Lê Lợi, TP. Bắc Giang"
BGG003,BGG,Bắc Giang Hotel 3,2,"45 Hoàng Văn Thụ, TP. Bắc Giang"
BKN001,BKN,Bắc Kạn Hotel 1,3,"12 Nguyễn Thị Minh Khai, TP. Bắc Kạn"
BLU001,BLU,Bạc Liêu Hotel 1,4,"15 Hùng Vương, TP. Bạc Liêu"
BLU002,BLU,Bạc Liêu Hotel 2,3,"20 Trần Phú, TP. Bạc Liêu"
BNH001,BNH,Bắc Ninh Hotel 1,4,"18 Ngô Gia Tự, TP. Bắc Ninh"
BNH002,BNH,Bắc Ninh Hotel 2,3,"22 Lê Văn Thịnh, TP. Bắc Ninh"
BTE001,BTE,Bến Tre Hotel 1,3,"30 Đồng Khởi, TP. Bến Tre"
BTE002,BTE,Bến Tre Hotel 2,4,"12 Nguyễn Đình Chiểu, TP. Bến Tre"
BDH001,BDH,Bình Định Hotel 1,4,"15 Nguyễn Huệ, TP. Quy Nhơn"
BDH002,BDH,Bình Định Hotel 2,3,"20 Lê Lợi, TP. Quy Nhơn"
BDG001,BDG,Bình Dương Hotel 1,4,"10 Bạch Đằng, TX. Thuận An, Bình Dương"
BDG002,BDG,Bình Dương Hotel 2,5,"01 Đại lộ Bình Dương, TP. Thủ Dầu Một"
BTN001,BTN,Bình Thuận Hotel 1,4,"54 Nguyễn Đình Chiểu, TP. Phan Thiết"
BTN002,BTN,Bình Thuận Hotel 2,3,"12 Trần Hưng Đạo, TP. Phan Thiết"
CMU001,CMU,Cà Mau Hotel 1,3,"15 Phan Ngọc Hiển, TP. Cà Mau"
CMU002,CMU,Cà Mau Hotel 2,4,"30 Nguyễn Tất Thành, TP. Cà Mau"
CTO001,CTO,Cần Thơ Hotel 1,5,"02 Hòa Bình, Q. Ninh Kiều, TP. Cần Thơ"
CTO002,CTO,Cần Thơ Hotel 2,4,"12 Nguyễn Văn Linh, Q. Ninh Kiều"
CBG001,CBG,Cao Bằng Hotel 1,3,"18 Kim Đồng, TP. Cao Bằng"
CBG002,CBG,Cao Bằng Hotel 2,2,"25 Hoàng Liên, TP. Cao Bằng"
DNG001,DNG,Đà Nẵng Hotel 1,5,"200 Võ Nguyên Giáp, P. Mỹ An, Q. Ngũ Hành Sơn"
DNG002,DNG,Đà Nẵng Hotel 2,4,"105 Nguyễn Văn Linh, Q. Hải Châu"
DNG003,DNG,Đà Nẵng Hotel 3,3,"50 Trần Phú, Q. Hải Châu"
DLK001,DLK,Đắk Lắk Hotel 1,4,"15 Nguyễn Chí Thanh, TP. Buôn Ma Thuột"
DLK002,DLK,Đắk Lắk Hotel 2,3,"22 Y Jút, TP. Buôn Ma Thuột"
DNO001,DNO,Đắk Nông Hotel 1,3,"10 Lê Duẩn, TX. Gia Nghĩa"
DNO002,DNO,Đắk Nông Hotel 2,2,"15 Nguyễn Tất Thành, TX. Gia Nghĩa"
DBI001,DBI,Điện Biên Hotel 1,3,"12 Võ Nguyên Giáp, TP. Điện Biên Phủ"
DBI002,DBI,Điện Biên Hotel 2,2,"20 Hoàng Văn Thụ, TP. Điện Biên Phủ"
DNA001,DNA,Đồng Nai Hotel 1,4,"10 Nguyễn Ái Quốc, TP. Biên Hòa"
DNA002,DNA,Đồng Nai Hotel 2,3,"15 Phạm Văn Thuận, TP. Biên Hòa"
DTP001,DTP,Đồng Tháp Hotel 1,3,"18 Lê Lợi, TP. Cao Lãnh"
DTP002,DTP,Đồng Tháp Hotel 2,4,"25 Nguyễn Thái Học, TP. Cao Lãnh"
GLI001,GLI,Gia Lai Hotel 1,4,"12 Nguyễn Tất Thành, TP. Pleiku"
GLI002,GLI,Gia Lai Hotel 2,3,"18 Lê Lợi, TP. Pleiku"
HGG001,HGG,Hà Giang Hotel 1,3,"15 Nguyễn Trãi, TP. Hà Giang"
HGG002,HGG,Hà Giang Hotel 2,2,"20 Trần Phú, TP. Hà Giang"
HNA001,HNA,Hà Nam Hotel 1,3,"10 Lê Lợi, TP. Phủ Lý"
HNA002,HNA,Hà Nam Hotel 2,2,"15 Nguyễn Văn Trỗi, TP. Phủ Lý"
HNO001,HNO,Hà Nội Hotel 1,5,"1 Phạm Hùng, Q. Nam Từ Liêm"
HNO002,HNO,Hà Nội Hotel 2,4,"8 Lê Thánh Tông, Q. Hoàn Kiếm"
HNO003,HNO,Hà Nội Hotel 3,3,"25 Hàng Bè, Q. Hoàn Kiếm"
HNO004,HNO,Hà Nội Hotel 4,5,"33 Phạm Ngũ Lão, Q. Hoàn Kiếm"
HNO005,HNO,Hà Nội Hotel 5,4,"45 Lý Thường Kiệt, Q. Hoàn Kiếm"
HTH001,HTH,Hà Tĩnh Hotel 1,3,"12 Nguyễn Du, TP. Hà Tĩnh"
HTH002,HTH,Hà Tĩnh Hotel 2,4,"15 Trần Phú, TP. Hà Tĩnh"
HDG001,HDG,Hải Dương Hotel 1,3,"10 Nguyễn Lương Bằng, TP. Hải Dương"
HDG002,HDG,Hải Dương Hotel 2,4,"15 Thanh Niên, TP. Hải Dương"
HPG001,HPG,Hải Phòng Hotel 1,4,"12 Lạch Tray, Q. Ngô Quyền"
HPG002,HPG,Hải Phòng Hotel 2,5,"1 Điện Biên Phủ, Q. Hồng Bàng"
HUG001,HUG,Hậu Giang Hotel 1,3,"15 Nguyễn Trãi, TP. Vị Thanh"
HUG002,HUG,Hậu Giang Hotel 2,2,"20 Lê Lợi, TP. Vị Thanh"
HBI001,HBI,Hòa Bình Hotel 1,3,"10 Điện Biên Phủ, TP. Hòa Bình"
HBI002,HBI,Hòa Bình Hotel 2,4,"15 Trần Hưng Đạo, TP. Hòa Bình"
HYN001,HYN,Hưng Yên Hotel 1,3,"12 Bãi Sậy, TP. Hưng Yên"
HYN002,HYN,Hưng Yên Hotel 2,2,"18 Lê Lợi, TP. Hưng Yên"
KHA001,KHA,Khánh Hòa Hotel 1,5,"32 Trần Phú, TP. Nha Trang"
KHA002,KHA,Khánh Hòa Hotel 2,4,"14 Tháp Bà, TP. Nha Trang"
KGI001,KGI,Kiên Giang Hotel 1,4,"12 Nguyễn Trung Trực, TP. Rạch Giá"
KGI002,KGI,Kiên Giang Hotel 2,3,"18 Lạc Hồng, TP. Rạch Giá"
KTM001,KTM,Kon Tum Hotel 1,3,"10 Nguyễn Huệ, TP. Kon Tum"
KTM002,KTM,Kon Tum Hotel 2,2,"15 Trần Hưng Đạo, TP. Kon Tum"
LCI001,LCI,Lai Châu Hotel 1,3,"12 Trần Phú, TP. Lai Châu"
LCI002,LCI,Lai Châu Hotel 2,2,"18 Lê Lợi, TP. Lai Châu"
LCH001,LCH,Lạng Sơn Hotel 1,3,"10 Trần Đăng Ninh, TP. Lạng Sơn"
LCH002,LCH,Lạng Sơn Hotel 2,4,"15 Lê Lợi, TP. Lạng Sơn"
LDO001,LDO,Lâm Đồng Hotel 1,5,"12 Trần Phú, TP. Đà Lạt"
LDO002,LDO,Lâm Đồng Hotel 2,4,"20 Hùng Vương, TP. Đà Lạt"
LCA001,LCA,Lào Cai Hotel 1,4,"10 Xuân Viên, TP. Lào Cai"
LCA002,LCA,Lào Cai Hotel 2,3,"15 Hoàng Liên, TP. Lào Cai"
LAG001,LAG,Long An Hotel 1,3,"12 Nguyễn Thông, TP. Tân An"
LAG002,LAG,Long An Hotel 2,4,"18 Hùng Vương, TP. Tân An"
NDH001,NDH,Nam Định Hotel 1,3,"10 Lê Hồng Phong, TP. Nam Định"
NDH002,NDH,Nam Định Hotel 2,4,"15 Trần Hưng Đạo, TP. Nam Định"
NBH001,NBH,Ninh Bình Hotel 1,4,"12 Lê Đại Hành, TP. Ninh Bình"
NBH002,NBH,Ninh Bình Hotel 2,3,"18 Trần Hưng Đạo, TP. Ninh Bình"
NTN001,NTN,Ninh Thuận Hotel 1,3,"128 Thống Nhất, TP. Phan Rang - Tháp Chàm"
NTN002,NTN,Ninh Thuận Hotel 2,4,"15 Nguyễn Trãi, TP. Phan Rang - Tháp Chàm"
PTU001,PTU,Phú Thọ Hotel 1,3,"10 Hùng Vương, TP. Việt Trì"
PTU002,PTU,Phú Thọ Hotel 2,4,"15 Trần Phú, TP. Việt Trì"
PYN001,PYN,Phú Yên Hotel 1,3,"12 Lê Lợi, TP. Tuy Hòa"
PYN002,PYN,Phú Yên Hotel 2,4,"18 Nguyễn Huệ, TP. Tuy Hòa"
QBI001,QBI,Quảng Bình Hotel 1,3,"10 Lê Lợi, TP. Đồng Hới"
QBI002,QBI,Quảng Bình Hotel 2,4,"15 Nguyễn Du, TP. Đồng Hới"
QNA001,QNA,Quảng Nam Hotel 1,4,"12 Trần Phú, TP. Hội An"
QNA002,QNA,Quảng Nam Hotel 2,5,"18 Cửa Đại, TP. Hội An"
QNG001,QNG,Quảng Ngãi Hotel 1,3,"10 Nguyễn Nghiêm, TP. Quảng Ngãi"
QNG002,QNG,Quảng Ngãi Hotel 2,4,"15 Lê Trung Đình, TP. Quảng Ngãi"
QNI001,QNI,Quảng Ninh Hotel 1,5,"10 Hạ Long, P. Bãi Cháy, TP. Hạ Long"
QNI002,QNI,Quảng Ninh Hotel 2,4,"18 Lê Thánh Tông, TP. Hạ Long"
QTR001,QTR,Quảng Trị Hotel 1,3,"12 Duy Tân, TP. Đông Hà"
QTR002,QTR,Quảng Trị Hotel 2,2,"18 Lê Lợi, TP. Đông Hà"
STG001,STG,Sóc Trăng Hotel 1,3,"10 Lê Hồng Phong, TP. Sóc Trăng"
STG002,STG,Sóc Trăng Hotel 2,4,"15 Trần Hưng Đạo, TP. Sóc Trăng"
SLA001,SLA,Sơn La Hotel 1,3,"12 Chu Văn Thịnh, TP. Sơn La"
SLA002,SLA,Sơn La Hotel 2,4,"18 Tô Hiệu, TP. Sơn La"
TBG001,TBG,Tuyên Quang Hotel 1,3,"10 Đội Cấn, TP. Tuyên Quang"
TBG002,TBG,Tuyên Quang Hotel 2,2,"15 Lê Lợi, TP. Tuyên Quang"
TNI001,TNI,Tây Ninh Hotel 1,3,"10 30/4, TP. Tây Ninh"
TNI002,TNI,Tây Ninh Hotel 2,4,"15 Cách Mạng Tháng 8, TP. Tây Ninh"
TNH001,TNH,Thái Nguyên Hotel 1,4,"10 Hoàng Văn Thụ, TP. Thái Nguyên"
TNH002,TNH,Thái Nguyên Hotel 2,3,"15 Lương Ngọc Quyến, TP. Thái Nguyên"
TBI001,TBI,Thái Bình Hotel 1,3,"10 Lý Bôn, TP. Thái Bình"
TBI002,TBI,Thái Bình Hotel 2,4,"15 Trần Hưng Đạo, TP. Thái Bình"
THA001,THA,Thanh Hóa Hotel 1,4,"10 Hạc Thành, TP. Thanh Hóa"
THA002,THA,Thanh Hóa Hotel 2,5,"15 Lê Lai, TP. Thanh Hóa"
TTH001,TTH,Thừa Thiên Huế Hotel 1,4,"50 Lê Lợi, TP. Huế"
TTH002,TTH,Thừa Thiên Huế Hotel 2,5,"12 Hùng Vương, TP. Huế"
TVH001,TVH,Trà Vinh Hotel 1,3,"10 Lê Lợi, TP. Trà Vinh"
TVH002,TVH,Trà Vinh Hotel 2,4,"15 Phạm Ngũ Lão, TP. Trà Vinh"
VLO001,VLO,Vĩnh Long Hotel 1,3,"10 Phạm Hùng, TP. Vĩnh Long"
VLO002,VLO,Vĩnh Long Hotel 2,4,"15 Nguyễn Huệ, TP. Vĩnh Long"
VPC001,VPC,Vĩnh Phúc Hotel 1,4,"10 Nguyễn Tất Thành, TP. Vĩnh Yên"
VPC002,VPC,Vĩnh Phúc Hotel 2,3,"15 Lê Lợi, TP. Vĩnh Yên"
YBI001,YBI,Yên Bái Hotel 1,3,"10 Điện Biên Phủ, TP. Yên Bái"
YBI002,YBI,Yên Bái Hotel 2,4,"15 Nguyễn Thái Học, TP. Yên Bái"
