MaPhong,MaKhachSan,LoaiPhong,GiaNiemYet,TrangThai
AGG001_R001,AGG001,Standard Room,1200000,Trống
AGG001_R002,AGG001,Standard Room,1200000,Đang sử dụng
AGG001_R003,AGG001,Standard Room,1200000,Đang sử dụng
AGG001_R004,AGG001,Standard Room,1200000,Đang dọn
AGG001_R005,AGG001,Standard Room,1200000,Trống
AGG001_R006,AGG001,Deluxe Room,1800000,Đang sử dụng
AGG001_R007,AGG001,Deluxe Room,1800000,Đang sử dụng
AGG001_R008,AGG001,Deluxe Room,1800000,Trống
AGG001_R009,AGG001,Superior Room,1500000,Đang dọn
AGG001_R010,AGG001,Superior Room,1500000,Đang sử dụng
AGG001_R011,AGG001,Executive Room,2400000,Trống
AGG001_R012,AGG001,Junior Suite,2800000,Đang sử dụng
AGG001_R013,AGG001,Suite,3500000,Đang sử dụng
AGG001_R014,AGG001,Family Room,2200000,Đang sử dụng
AGG001_R015,AGG001,Connecting Room,2000000,Đang dọn
AGG001_R016,AGG001,Twin Room,1700000,Đang dọn
AGG001_R017,AGG001,Double Room,1700000,Trống
AGG002_R001,AGG002,Standard Room,1200000,Trống
AGG002_R002,AGG002,Standard Room,1200000,Đang dọn
AGG002_R003,AGG002,Standard Room,1200000,Đang dọn
AGG002_R004,AGG002,Standard Room,1200000,Đang sử dụng
AGG002_R005,AGG002,Standard Room,1200000,Đang dọn
AGG002_R006,AGG002,Standard Room,1200000,Đang dọn
AGG002_R007,AGG002,Standard Room,1200000,Đang sử dụng
AGG002_R008,AGG002,Standard Room,1200000,Đang sử dụng
AGG002_R009,AGG002,Standard Room,1200000,Đang sử dụng
AGG002_R010,AGG002,Deluxe Room,1800000,Trống
AGG002_R011,AGG002,Deluxe Room,1800000,Đang dọn
AGG002_R012,AGG002,Deluxe Room,1800000,Đang dọn
AGG002_R013,AGG002,Deluxe Room,1800000,Đang sử dụng
AGG002_R014,AGG002,Deluxe Room,1800000,Đang sử dụng
AGG002_R015,AGG002,Deluxe Room,1800000,Trống
AGG002_R016,AGG002,Superior Room,1500000,Trống
AGG002_R017,AGG002,Superior Room,1500000,Đang dọn
AGG002_R018,AGG002,Superior Room,1500000,Đang dọn
AGG002_R019,AGG002,Superior Room,1500000,Đang sử dụng
AGG002_R020,AGG002,Executive Room,2400000,Đang dọn
AGG002_R021,AGG002,Executive Room,2400000,Đang dọn
AGG002_R022,AGG002,Junior Suite,2800000,Trống
AGG002_R023,AGG002,Junior Suite,2800000,Đang sử dụng
AGG002_R024,AGG002,Suite,3500000,Trống
AGG002_R025,AGG002,Suite,3500000,Đang dọn
AGG002_R026,AGG002,Family Room,2200000,Đang dọn
AGG002_R027,AGG002,Family Room,2200000,Đang dọn
AGG002_R028,AGG002,Connecting Room,2000000,Trống
AGG002_R029,AGG002,Connecting Room,2000000,Đang dọn
AGG002_R030,AGG002,Twin Room,1700000,Đang dọn
AGG002_R031,AGG002,Double Room,1700000,Trống
AGG002_R032,AGG002,Double Room,1700000,Trống
AGG002_R033,AGG002,Single Room,1000000,Trống
AGG002_R034,AGG002,Studio Room,1300000,Đang sử dụng
AGG002_R035,AGG002,Accessible Room,1100000,Đang dọn
AGG003_R001,AGG003,Standard Room,1200000,Đang dọn
AGG003_R002,AGG003,Standard Room,1200000,Trống
AGG003_R003,AGG003,Standard Room,1200000,Đang dọn
AGG003_R004,AGG003,Standard Room,1200000,Đang sử dụng
AGG003_R005,AGG003,Standard Room,1200000,Trống
AGG003_R006,AGG003,Standard Room,1200000,Đang dọn
AGG003_R007,AGG003,Standard Room,1200000,Trống
AGG003_R008,AGG003,Standard Room,1200000,Đang sử dụng
AGG003_R009,AGG003,Standard Room,1200000,Trống
AGG003_R010,AGG003,Standard Room,1200000,Trống
AGG003_R011,AGG003,Deluxe Room,1800000,Đang sử dụng
AGG003_R012,AGG003,Deluxe Room,1800000,Đang sử dụng
AGG003_R013,AGG003,Deluxe Room,1800000,Đang dọn
AGG003_R014,AGG003,Deluxe Room,1800000,Đang dọn
AGG003_R015,AGG003,Deluxe Room,1800000,Trống
AGG003_R016,AGG003,Deluxe Room,1800000,Trống
AGG003_R017,AGG003,Deluxe Room,1800000,Trống
AGG003_R018,AGG003,Superior Room,1500000,Trống
AGG003_R019,AGG003,Superior Room,1500000,Trống
AGG003_R020,AGG003,Superior Room,1500000,Đang dọn
AGG003_R021,AGG003,Superior Room,1500000,Đang dọn
AGG003_R022,AGG003,Executive Room,2400000,Đang sử dụng
AGG003_R023,AGG003,Executive Room,2400000,Trống
AGG003_R024,AGG003,Junior Suite,2800000,Trống
AGG003_R025,AGG003,Junior Suite,2800000,Đang dọn
AGG003_R026,AGG003,Suite,3500000,Đang dọn
AGG003_R027,AGG003,Suite,3500000,Đang dọn
