cityId,cityName,region
AGG,An Giang,Đồng bằng sông Cửu Long
BRV,Bà Rịa - Vũng Tàu,Đông Nam Bộ
BGG,Bắc Giang,Đồng bằng sông Hồng
BKN,Bắc Kạn,Trung du và miền núi phía Bắc
BLU,Bạc Liêu,Đồng bằng sông Cửu Long
BNH,Bắc Ninh,Đồng bằng sông Hồng
BTE,Bến Tre,Đồng bằng sông Cửu Long
BDH,Bình Định,Duyên hải Nam Trung Bộ
BDG,Bình Dương,Đông Nam Bộ
BPC,Bình Phước,Đông Nam Bộ
BTN,Bình Thuận,Duyên hải Nam Trung Bộ
CMU,Cà Mau,Đồng bằng sông Cửu Long
CTO,Cần Thơ,Đồng bằng sông Cửu Long
CBG,Cao Bằng,Trung du và miền núi phía Bắc
DNG,Đà Nẵng,Duyên hải Nam Trung Bộ
DLK,Đắk Lắk,Tây Nguyên
DNO,Đắk Nông,Tây Nguyên
DBI,Điện Biên,Trung du và miền núi phía Bắc
DNA,Đồng Nai,Đông Nam Bộ
DTP,Đồng Tháp,Đồng bằng sông Cửu Long
GLI,Gia Lai,Tây Nguyên
HGG,Hà Giang,Trung du và miền núi phía Bắc
HNA,Hà Nam,Đồng bằng sông Hồng
HNO,Hà Nội,Đồng bằng sông Hồng
HTH,Hà Tĩnh,Bắc Trung Bộ
HDG,Hải Dương,Đồng bằng sông Hồng
HPG,Hải Phòng,Đồng bằng sông Hồng
HUG,Hậu Giang,Đồng bằng sông Cửu Long
HBI,Hòa Bình,Trung du và miền núi phía Bắc
HYN,Hưng Yên,Đồng bằng sông Hồng
KHA,Khánh Hòa,Duyên hải Nam Trung Bộ
KGI,Kiên Giang,Đồng bằng sông Cửu Long
KTM,Kon Tum,Tây Nguyên
LCI,Lai Châu,Trung du và miền núi phía Bắc
LCH,Lạng Sơn,Trung du và miền núi phía Bắc
LDO,Lâm Đồng,Tây Nguyên
LCA,Lào Cai,Trung du và miền núi phía Bắc
LAG,Long An,Đồng bằng sông Cửu Long
NDH,Nam Định,Đồng bằng sông Hồng
NBH,Ninh Bình,Đồng bằng sông Hồng
NTN,Ninh Thuận,Duyên hải Nam Trung Bộ
PTU,Phú Thọ,Trung du và miền núi phía Bắc
PYN,Phú Yên,Duyên hải Nam Trung Bộ
QBI,Quảng Bình,Bắc Trung Bộ
QNA,Quảng Nam,Duyên hải Nam Trung Bộ
QNG,Quảng Ngãi,Duyên hải Nam Trung Bộ
QNI,Quảng Ninh,Đồng bằng sông Hồng
QTR,Quảng Trị,Bắc Trung Bộ
STG,Sóc Trăng,Đồng bằng sông Cửu Long
SLA,Sơn La,Trung du và miền núi phía Bắc
TBG,Tuyên Quang,Trung du và miền núi phía Bắc
TNI,Tây Ninh,Đông Nam Bộ
TNH,Thái Nguyên,Trung du và miền núi phía Bắc
TBI,Thái Bình,Đồng bằng sông Hồng
THA,Thanh Hóa,Bắc Trung Bộ
TTH,Thừa Thiên Huế,Bắc Trung Bộ
TVH,Trà Vinh,Đồng bằng sông Cửu Long
VLO,Vĩnh Long,Đồng bằng sông Cửu Long
VPC,Vĩnh Phúc,Đồng bằng sông Hồng
YBI,Yên Bái,Trung du và miền núi phía Bắc
