hotel_id,cityId,hotelName,cityName,region,star_rating,address
AGG001,AGG,An Giang Hotel 1,An Giang,Đồng bằng sông Cửu Long,3,"18 Trần Hưng Đạo, TP. Long Xuyên, An Giang"
AGG002,AGG,An Giang Hotel 2,An Giang,Đồng bằng sông Cửu Long,4,"12 Nguyễn Trãi, TP. Long Xuyên, An Giang"
AGG003,AGG,An Giang Hotel 3,An Giang,Đồng bằng sông Cửu Long,3,"22 Ngô Gia Tự, TP. Long Xuyên, An Giang"
AGG004,AGG,An Giang Hotel 4,An Giang,Đồng bằng sông Cửu Long,2,"45 Lê Lợi, TX. Châu Đốc, An Giang"
AGG005,AGG,An Giang Hotel 5,An Giang,Đồng bằng sông Cửu Long,3,"30 Nguyễn Bỉnh Khiêm, TP. Long Xuyên, An Giang"
BRV001,BRV,Bà Rịa - Vũng Tàu Hotel 1,Bà Rịa - Vũng Tàu,Đông Nam Bộ,5,"01 Thùy Vân, P. Thắng Tam, TP. Vũng Tàu"
BRV002,BRV,Bà Rịa - Vũng Tàu Hotel 2,Bà Rịa - Vũng Tàu,Đông Nam Bộ,4,"78 Trương Công Định, TP. Vũng Tàu"
BRV003,BRV,Bà Rịa - Vũng Tàu Hotel 3,Bà Rịa - Vũng Tàu,Đông Nam Bộ,3,"15 Lê Lợi, TP. Bà Rịa"
BRV004,BRV,Bà Rịa - Vũng Tàu Hotel 4,Bà Rịa - Vũng Tàu,Đông Nam Bộ,4,"12 Hạ Long, TP. Vũng Tàu"
BGG001,BGG,Bắc Giang Hotel 1,Bắc Giang,Đồng bằng sông Hồng,3,"25 Nguyễn Văn Cừ, TP. Bắc Giang"
BGG002,BGG,Bắc Giang Hotel 2,Bắc Giang,Đồng bằng sông Hồng,4,"10 Lê Lợi, TP. Bắc Giang"
BGG003,BGG,Bắc Giang Hotel 3,Bắc Giang,Đồng bằng sông Hồng,2,"45 Hoàng Văn Thụ, TP. Bắc Giang"
BKN001,BKN,Bắc Kạn Hotel 1,Bắc Kạn,Trung du và miền núi phía Bắc,3,"12 Nguyễn Thị Minh Khai, TP. Bắc Kạn"
BLU001,BLU,Bạc Liêu Hotel 1,Bạc Liêu,Đồng bằng sông Cửu Long,4,"15 Hùng Vương, TP. Bạc Liêu"
BLU002,BLU,Bạc Liêu Hotel 2,Bạc Liêu,Đồng bằng sông Cửu Long,3,"20 Trần Phú, TP. Bạc Liêu"
BNH001,BNH,Bắc Ninh Hotel 1,Bắc Ninh,Đồng bằng sông Hồng,4,"18 Ngô Gia Tự, TP. Bắc Ninh"
BNH002,BNH,Bắc Ninh Hotel 2,Bắc Ninh,Đồng bằng sông Hồng,3,"22 Lê Văn Thịnh, TP. Bắc Ninh"
BTE001,BTE,Bến Tre Hotel 1,Bến Tre,Đồng bằng sông Cửu Long,3,"30 Đồng Khởi, TP. Bến Tre"
BTE002,BTE,Bến Tre Hotel 2,Bến Tre,Đồng bằng sông Cửu Long,4,"12 Nguyễn Đình Chiểu, TP. Bến Tre"
BDH001,BDH,Bình Định Hotel 1,Bình Định,Duyên hải Nam Trung Bộ,4,"15 Nguyễn Huệ, TP. Quy Nhơn"
BDH002,BDH,Bình Định Hotel 2,Bình Định,Duyên hải Nam Trung Bộ,3,"20 Lê Lợi, TP. Quy Nhơn"
BDG001,BDG,Bình Dương Hotel 1,Bình Dương,Đông Nam Bộ,4,"10 Bạch Đằng, TX. Thuận An, Bình Dương"
BDG002,BDG,Bình Dương Hotel 2,Bình Dương,Đông Nam Bộ,5,"01 Đại lộ Bình Dương, TP. Thủ Dầu Một"
BTN001,BTN,Bình Thuận Hotel 1,Bình Thuận,Duyên hải Nam Trung Bộ,4,"54 Nguyễn Đình Chiểu, TP. Phan Thiết"
BTN002,BTN,Bình Thuận Hotel 2,Bình Thuận,Duyên hải Nam Trung Bộ,3,"12 Trần Hưng Đạo, TP. Phan Thiết"
