hotel_id,cityId,hotelName,cityName,region
AGG001,AGG,An Giang Hotel 1,An Giang,Đồng bằng sông Cửu Long
AGG002,AGG,An Giang Hotel 2,An Giang,Đồng bằng sông Cửu Long
AGG003,AGG,An Giang Hotel 3,An Giang,Đồng bằng sông Cửu Long
AGG004,AGG,An Giang Hotel 4,An Giang,Đồng bằng sông Cửu Long
AGG005,AGG,An Giang Hotel 5,An Giang,Đồng bằng sông Cửu Long
AGG006,AGG,An Giang Hotel 6,An Giang,Đồng bằng sông Cửu Long
BRV001,BRV,Bà Rịa - Vũng Tàu Hotel 1,Bà Rịa - Vũng Tàu,Đông Nam Bộ
BRV002,BRV,Bà Rịa - Vũng Tàu Hotel 2,Bà Rịa - Vũng Tàu,Đông Nam Bộ
BRV003,BRV,Bà Rịa - Vũng Tàu Hotel 3,Bà Rịa - Vũng Tàu,Đông Nam Bộ
BRV004,BRV,Bà Rịa - Vũng Tàu Hotel 4,Bà Rịa - Vũng Tàu,Đông Nam Bộ
BGG001,BGG,Bắc Giang Hotel 1,Bắc Giang,Đồng bằng sông Hồng
BGG002,BGG,Bắc Giang Hotel 2,Bắc Giang,Đồng bằng sông Hồng
BGG003,BGG,Bắc Giang Hotel 3,Bắc Giang,Đồng bằng sông Hồng
BGG004,BGG,Bắc Giang Hotel 4,Bắc Giang,Đồng bằng sông Hồng
BGG005,BGG,Bắc Giang Hotel 5,Bắc Giang,Đồng bằng sông Hồng
BGG006,BGG,Bắc Giang Hotel 6,Bắc Giang,Đồng bằng sông Hồng
BKN001,BKN,Bắc Kạn Hotel 1,Bắc Kạn,Trung du và miền núi phía Bắc
BLU001,BLU,Bạc Liêu Hotel 1,Bạc Liêu,Đồng bằng sông Cửu Long
BLU002,BLU,Bạc Liêu Hotel 2,Bạc Liêu,Đồng bằng sông Cửu Long
BLU003,BLU,Bạc Liêu Hotel 3,Bạc Liêu,Đồng bằng sông Cửu Long
BNH001,BNH,Bắc Ninh Hotel 1,Bắc Ninh,Đồng bằng sông Hồng
BNH002,BNH,Bắc Ninh Hotel 2,Bắc Ninh,Đồng bằng sông Hồng
BNH003,BNH,Bắc Ninh Hotel 3,Bắc Ninh,Đồng bằng sông Hồng
BNH004,BNH,Bắc Ninh Hotel 4,Bắc Ninh,Đồng bằng sông Hồng
BNH005,BNH,Bắc Ninh Hotel 5,Bắc Ninh,Đồng bằng sông Hồng
BTE001,BTE,Bến Tre Hotel 1,Bến Tre,Đồng bằng sông Cửu Long
BTE002,BTE,Bến Tre Hotel 2,Bến Tre,Đồng bằng sông Cửu Long
BTE003,BTE,Bến Tre Hotel 3,Bến Tre,Đồng bằng sông Cửu Long
BTE004,BTE,Bến Tre Hotel 4,Bến Tre,Đồng bằng sông Cửu Long
BDH001,BDH,Bình Định Hotel 1,Bình Định,Duyên hải Nam Trung Bộ
BDH002,BDH,Bình Định Hotel 2,Bình Định,Duyên hải Nam Trung Bộ
BDH003,BDH,Bình Định Hotel 3,Bình Định,Duyên hải Nam Trung Bộ
BDH004,BDH,Bình Định Hotel 4,Bình Định,Duyên hải Nam Trung Bộ
BDH005,BDH,Bình Định Hotel 5,Bình Định,Duyên hải Nam Trung Bộ
BDG001,BDG,Bình Dương Hotel 1,Bình Dương,Đông Nam Bộ
BDG002,BDG,Bình Dương Hotel 2,Bình Dương,Đông Nam Bộ
BDG003,BDG,Bình Dương Hotel 3,Bình Dương,Đông Nam Bộ
BDG004,BDG,Bình Dương Hotel 4,Bình Dương,Đông Nam Bộ
BDG005,BDG,Bình Dương Hotel 5,Bình Dương,Đông Nam Bộ
BDG006,BDG,Bình Dương Hotel 6,Bình Dương,Đông Nam Bộ
BDG007,BDG,Bình Dương Hotel 7,Bình Dương,Đông Nam Bộ
BDG008,BDG,Bình Dương Hotel 8,Bình Dương,Đông Nam Bộ
BDG009,BDG,Bình Dương Hotel 9,Bình Dương,Đông Nam Bộ
BPC001,BPC,Bình Phước Hotel 1,Bình Phước,Đông Nam Bộ
BPC002,BPC,Bình Phước Hotel 2,Bình Phước,Đông Nam Bộ
BPC003,BPC,Bình Phước Hotel 3,Bình Phước,Đông Nam Bộ
BTN001,BTN,Bình Thuận Hotel 1,Bình Thuận,Duyên hải Nam Trung Bộ
BTN002,BTN,Bình Thuận Hotel 2,Bình Thuận,Duyên hải Nam Trung Bộ
BTN003,BTN,Bình Thuận Hotel 3,Bình Thuận,Duyên hải Nam Trung Bộ
BTN004,BTN,Bình Thuận Hotel 4,Bình Thuận,Duyên hải Nam Trung Bộ
CMU001,CMU,Cà Mau Hotel 1,Cà Mau,Đồng bằng sông Cửu Long
CMU002,CMU,Cà Mau Hotel 2,Cà Mau,Đồng bằng sông Cửu Long
CMU003,CMU,Cà Mau Hotel 3,Cà Mau,Đồng bằng sông Cửu Long
CMU004,CMU,Cà Mau Hotel 4,Cà Mau,Đồng bằng sông Cửu Long
CTO001,CTO,Cần Thơ Hotel 1,Cần Thơ,Đồng bằng sông Cửu Long
CTO002,CTO,Cần Thơ Hotel 2,Cần Thơ,Đồng bằng sông Cửu Long
CTO003,CTO,Cần Thơ Hotel 3,Cần Thơ,Đồng bằng sông Cửu Long
CTO004,CTO,Cần Thơ Hotel 4,Cần Thơ,Đồng bằng sông Cửu Long
CBG001,CBG,Cao Bằng Hotel 1,Cao Bằng,Trung du và miền núi phía Bắc
CBG002,CBG,Cao Bằng Hotel 2,Cao Bằng,Trung du và miền núi phía Bắc
DNG001,DNG,Đà Nẵng Hotel 1,Đà Nẵng,Duyên hải Nam Trung Bộ
DNG002,DNG,Đà Nẵng Hotel 2,Đà Nẵng,Duyên hải Nam Trung Bộ
DNG003,DNG,Đà Nẵng Hotel 3,Đà Nẵng,Duyên hải Nam Trung Bộ
DNG004,DNG,Đà Nẵng Hotel 4,Đà Nẵng,Duyên hải Nam Trung Bộ
DLK001,DLK,Đắk Lắk Hotel 1,Đắk Lắk,Tây Nguyên
DLK002,DLK,Đắk Lắk Hotel 2,Đắk Lắk,Tây Nguyên
DLK003,DLK,Đắk Lắk Hotel 3,Đắk Lắk,Tây Nguyên
DLK004,DLK,Đắk Lắk Hotel 4,Đắk Lắk,Tây Nguyên
DLK005,DLK,Đắk Lắk Hotel 5,Đắk Lắk,Tây Nguyên
DLK006,DLK,Đắk Lắk Hotel 6,Đắk Lắk,Tây Nguyên
DNO001,DNO,Đắk Nông Hotel 1,Đắk Nông,Tây Nguyên
DNO002,DNO,Đắk Nông Hotel 2,Đắk Nông,Tây Nguyên
DBI001,DBI,Điện Biên Hotel 1,Điện Biên,Trung du và miền núi phía Bắc
DBI002,DBI,Điện Biên Hotel 2,Điện Biên,Trung du và miền núi phía Bắc
DNA001,DNA,Đồng Nai Hotel 1,Đồng Nai,Đông Nam Bộ
DNA002,DNA,Đồng Nai Hotel 2,Đồng Nai,Đông Nam Bộ
DNA003,DNA,Đồng Nai Hotel 3,Đồng Nai,Đông Nam Bộ
DNA004,DNA,Đồng Nai Hotel 4,Đồng Nai,Đông Nam Bộ
DNA005,DNA,Đồng Nai Hotel 5,Đồng Nai,Đông Nam Bộ
DNA006,DNA,Đồng Nai Hotel 6,Đồng Nai,Đông Nam Bộ
DNA007,DNA,Đồng Nai Hotel 7,Đồng Nai,Đông Nam Bộ
DNA008,DNA,Đồng Nai Hotel 8,Đồng Nai,Đông Nam Bộ
DNA009,DNA,Đồng Nai Hotel 9,Đồng Nai,Đông Nam Bộ
DNA010,DNA,Đồng Nai Hotel 10,Đồng Nai,Đông Nam Bộ
DTP001,DTP,Đồng Tháp Hotel 1,Đồng Tháp,Đồng bằng sông Cửu Long
DTP002,DTP,Đồng Tháp Hotel 2,Đồng Tháp,Đồng bằng sông Cửu Long
DTP003,DTP,Đồng Tháp Hotel 3,Đồng Tháp,Đồng bằng sông Cửu Long
DTP004,DTP,Đồng Tháp Hotel 4,Đồng Tháp,Đồng bằng sông Cửu Long
DTP005,DTP,Đồng Tháp Hotel 5,Đồng Tháp,Đồng bằng sông Cửu Long
DTP006,DTP,Đồng Tháp Hotel 6,Đồng Tháp,Đồng bằng sông Cửu Long
GLI001,GLI,Gia Lai Hotel 1,Gia Lai,Tây Nguyên
GLI002,GLI,Gia Lai Hotel 2,Gia Lai,Tây Nguyên
GLI003,GLI,Gia Lai Hotel 3,Gia Lai,Tây Nguyên
GLI004,GLI,Gia Lai Hotel 4,Gia Lai,Tây Nguyên
GLI005,GLI,Gia Lai Hotel 5,Gia Lai,Tây Nguyên
HGG001,HGG,Hà Giang Hotel 1,Hà Giang,Trung du và miền núi phía Bắc
HGG002,HGG,Hà Giang Hotel 2,Hà Giang,Trung du và miền núi phía Bắc
HGG003,HGG,Hà Giang Hotel 3,Hà Giang,Trung du và miền núi phía Bắc
HNA001,HNA,Hà Nam Hotel 1,Hà Nam,Đồng bằng sông Hồng
HNA002,HNA,Hà Nam Hotel 2,Hà Nam,Đồng bằng sông Hồng
HNA003,HNA,Hà Nam Hotel 3,Hà Nam,Đồng bằng sông Hồng
HNO001,HNO,Hà Nội Hotel 1,Hà Nội,Đồng bằng sông Hồng
HNO002,HNO,Hà Nội Hotel 2,Hà Nội,Đồng bằng sông Hồng
HNO003,HNO,Hà Nội Hotel 3,Hà Nội,Đồng bằng sông Hồng
HNO004,HNO,Hà Nội Hotel 4,Hà Nội,Đồng bằng sông Hồng
HNO005,HNO,Hà Nội Hotel 5,Hà Nội,Đồng bằng sông Hồng
HNO006,HNO,Hà Nội Hotel 6,Hà Nội,Đồng bằng sông Hồng
HNO007,HNO,Hà Nội Hotel 7,Hà Nội,Đồng bằng sông Hồng
HNO008,HNO,Hà Nội Hotel 8,Hà Nội,Đồng bằng sông Hồng
HNO009,HNO,Hà Nội Hotel 9,Hà Nội,Đồng bằng sông Hồng
HNO010,HNO,Hà Nội Hotel 10,Hà Nội,Đồng bằng sông Hồng
