time_key,location_key,service_key,customer_key,serviceRevenue,serviceCount
202401,1,SVC013,CUST04666,2568058,2
202401,1,SVC012,CUST00176,289146,1
202401,1,SVC011,CUST03309,3026028,2
202401,1,SVC009,CUST02199,898946,2
202401,1,SVC008,CUST03692,398738,2
202401,1,SVC008,CUST03435,856174,2
202401,14,SVC005,CUST03955,441573,1
202401,14,SVC004,CUST00124,810687,3
202401,13,SVC024,CUST04883,488780,2
202401,13,SVC023,CUST00175,709292,2
202401,13,SVC022,CUST04157,343748,2
202401,13,SVC018,CUST04338,923440,2
202401,13,SVC016,CUST03231,1505744,4
202401,13,SVC004,CUST02183,453194,2
202401,13,SVC002,CUST04617,109823,1
202401,12,SVC025,CUST04641,588184,2
202401,15,SVC011,CUST01069,2324510,2
202401,15,SVC008,CUST02950,499627,1
202401,15,SVC002,CUST01892,1169781,3
202401,14,SVC019,CUST00857,359906,2
202401,14,SVC012,CUST02120,3357070,2
202401,14,SVC012,CUST01392,3714111,3
202401,10,SVC003,CUST04024,576688,2
202401,10,SVC001,CUST01765,364336,1
202401,4,SVC013,CUST03302,3639184,2
202401,4,SVC004,CUST01752,953652,3
202401,4,SVC001,CUST01810,724574,2
202401,3,SVC024,CUST00307,442238,1
202401,3,SVC022,CUST00768,569566,2
202401,3,SVC021,CUST04712,1345200,3
202401,3,SVC018,CUST00344,809476,4
202401,1,SVC025,CUST02169,461102,2
202401,20,SVC010,CUST04020,392391,1
202401,20,SVC007,CUST04584,439064,2
202401,20,SVC007,CUST02171,762360,2
202401,20,SVC001,CUST02363,369254,2
202401,19,SVC025,CUST02646,441794,1
202401,19,SVC024,CUST03425,1334226,3
202401,19,SVC024,CUST02198,399474,2
202401,19,SVC021,CUST01858,375922,1
202401,19,SVC020,CUST04532,898108,2
202401,19,SVC012,CUST03509,1710940,1
202401,19,SVC004,CUST04858,457275,1
202401,18,SVC024,CUST01400,966680,2
202401,18,SVC018,CUST02192,125526,1
202401,18,SVC015,CUST04618,884876,2
202401,18,SVC013,CUST03720,1535523,1
202401,18,SVC009,CUST04792,908264,2
202401,22,SVC015,CUST01382,507208,4
202401,22,SVC008,CUST04779,641336,2
202401,22,SVC008,CUST04623,863270,2
202401,22,SVC004,CUST00733,605572,4
202401,22,SVC002,CUST00911,328706,2
202401,21,SVC020,CUST00555,420729,1
202401,21,SVC019,CUST02529,954927,3
202401,21,SVC018,CUST03279,459947,1
202401,21,SVC016,CUST04310,486512,1
202401,21,SVC016,CUST00487,359398,2
202401,21,SVC011,CUST04177,644509,1
202401,21,SVC010,CUST01302,1407708,3
202401,21,SVC008,CUST00635,493990,2
202401,21,SVC008,CUST00214,904800,4
202401,20,SVC025,CUST03046,979856,2
202401,20,SVC012,CUST01317,701232,1
202401,24,SVC007,CUST01037,526884,2
202401,24,SVC004,CUST04965,334042,2
202401,23,SVC025,CUST01918,598740,3
202401,23,SVC025,CUST00570,432603,1
202401,23,SVC024,CUST03720,676803,3
202401,23,SVC023,CUST02443,482697,3
202401,23,SVC019,CUST02354,888813,3
202401,23,SVC019,CUST00188,779010,3
